word,phonetic,translation,frq
abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",2182
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的",6184
abandonment,ә'bændәmәnt,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)",9919
abashed,ә'bæʃd,"a. 不安的, 窘迫的",28626
abate,ә'beit,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",13243
abbreviate,ә'bri:vieit,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",22759
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略",20008
abdicate,'æbdikeit,"vt. 正式放弃\nvi. 退位, 退出, 辞职",19114
abduct,æb'dʌkt,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",11439
abhor,әb'hɒ:,"vt. 憎恶, 痛恨, 回避, 拒绝",16665
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的",22815
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",8457
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的",15604
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能",783
abject,'æbdʒekt,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的",16479
ablaze,ә'bleiz,"a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀",16903
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净; 洗净液",31213
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",8241
aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",4984
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",7490
abolition,.æbәu'liʃәn,"n. 废除, 废奴运动\n[医] 禁止, 消失",13737
abolitionist,.æbәu'liʃәnist,"n. 废除主义者, 废奴主义者",17150
abort,ә'bɒ:t,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",12402
abortive,ә'bɒ:tiv,"a. 流产的, 堕胎的, 失败的\n[医] 流产的; 顿挫的",22876
abound,ә'baund,"vi. 大量存在, 富于, 充满",7676
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀",18254
abrasive,ә'breisiv,n. 研磨料\na. 有研磨作用的,16344
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略",26746
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",3363
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",8703
absence,'æbsәns,"n. 缺席, 缺乏, 没有\n[医] 失神",2524
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",5516
absentee,.æbsәn'ti:,"n. 缺席者, 不在者\n[经] 缺勤者, 缺席者, 未到工者",13021
absenteeism,æbsәn'ti:iz(ә)m,"n. 经常无故缺席, 旷职, 旷工, 旷课\n[经] 有计划的怠工, 旷工",19278
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",3165
absolutely,'æbsәlu:tli,"adv. 完全地, 绝对地, 确确实实地",1149
absolve,әb'zɒlv,"vt. 宣告...无罪, 赦免, 免除\n[经] 免偿(债务), 解除",17031
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",3120
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的\n[机] 吸收的",17537
absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注\n[化] 吸收; 吸收作用",8596
